p1name,p1pos,p1type,p1team,p1teamname,p1icetime,p2name,p2pos,p2type,p2team,p2teamname,p2icetime,time
Henri Jokiharju,Defenseman,Defenseman,7,Buffalo Sabres,1223,Rasmus Dahlin,Defenseman,Defenseman,7,Buffalo Sabres,1205,139
Ryan Getzlaf,Center,Forward,24,Anaheim Ducks,1440,Sonny Milano,Left Wing,Forward,24,Anaheim Ducks,782,139
Dylan Larkin,Center,Forward,17,Detroit Red Wings,1655,Luke Glendening,Center,Forward,17,Detroit Red Wings,948,139
Kyle Turris,Center,Forward,22,Edmonton Oilers,1008,Rocco Grimaldi,Right Wing,Forward,18,Nashville Predators,856,140
Shea Weber,Defenseman,Defenseman,8,Montréal Canadiens,1627,Jeff Petry,Defenseman,Defenseman,8,Montréal Canadiens,1826,140
Justin Abdelkader,Left Wing,Forward,0,No team,579,Jacob de la Rose,Left Wing,Forward,19,St. Louis Blues,556,140
Duncan Keith,Defenseman,Defenseman,16,Chicago Blackhawks,1629,Calvin de Haan,Defenseman,Defenseman,16,Chicago Blackhawks,581,140
Alex Killorn,Left Wing,Forward,14,Tampa Bay Lightning,1249,Tyler Johnson,Center,Forward,14,Tampa Bay Lightning,991,140
Nick Bonino,Center,Forward,30,Minnesota Wild,1187,Mikael Granlund,Center,Forward,0,No team,1187,140
Zach Hyman,Left Wing,Forward,10,Toronto Maple Leafs,989,Alexander Kerfoot,Center,Forward,10,Toronto Maple Leafs,1010,140
Jacob Trouba,Defenseman,Defenseman,3,New York Rangers,1604,Adam Fox,Defenseman,Defenseman,3,New York Rangers,1388,140
Calle Jarnkrok,Center,Forward,18,Nashville Predators,1077,Colton Sissons,Center,Forward,18,Nashville Predators,868,140
Korbinian Holzer,Defenseman,Defenseman,0,No team,834,Michael Del Zotto,Defenseman,Defenseman,0,No team,1025,140
Jack Hughes,Center,Forward,1,New Jersey Devils,1150,Miles Wood,Left Wing,Forward,1,New Jersey Devils,902,140
Anders Bjork,Left Wing,Forward,6,Boston Bruins,768,David Krejci,Center,Forward,6,Boston Bruins,1194,141
Valtteri Filppula,Center,Forward,17,Detroit Red Wings,1226,Anthony Mantha,Right Wing,Forward,17,Detroit Red Wings,881,141
Sammy Blais,Left Wing,Forward,19,St. Louis Blues,503,Ryan O'Reilly,Center,Forward,19,St. Louis Blues,1681,141
Evgeni Malkin,Center,Forward,5,Pittsburgh Penguins,1193,Dominik Kahun,Center,Forward,22,Edmonton Oilers,775,141
