p1name,p1pos,p1type,p1team,p1teamname,p1icetime,p2name,p2pos,p2type,p2team,p2teamname,p2icetime,time
Scott Laughton,Center,Forward,4,Philadelphia Flyers,851,Michael Raffl,Left Wing,Forward,15,Washington Capitals,650,123
Nick Cousins,Center,Forward,18,Nashville Predators,808,Eeli Tolvanen,Right Wing,Forward,18,Nashville Predators,719,123
Anton Stralman,Defenseman,Defenseman,13,Florida Panthers,870,MacKenzie Weegar,Defenseman,Defenseman,13,Florida Panthers,1496,123
Mitchell Stephens,Center,Forward,14,Tampa Bay Lightning,97,Anthony Cirelli,Center,Forward,14,Tampa Bay Lightning,1415,123
Rickard Rakell,Left Wing,Forward,24,Anaheim Ducks,1070,Max Jones,Left Wing,Forward,24,Anaheim Ducks,702,123
Craig Smith,Center,Forward,6,Boston Bruins,1040,Trent Frederic,Center,Forward,6,Boston Bruins,474,123
Anthony Beauvillier,Left Wing,Forward,2,New York Islanders,1215,Oliver Wahlstrom,Right Wing,Forward,2,New York Islanders,649,123
Andreas Johnsson,Left Wing,Forward,1,New Jersey Devils,697,Kyle Palmieri,Right Wing,Forward,2,New York Islanders,1256,123
Jakub Voracek,Right Wing,Forward,4,Philadelphia Flyers,943,Joel Farabee,Left Wing,Forward,4,Philadelphia Flyers,949,123
Chris Tierney,Center,Forward,9,Ottawa Senators,860,Austin Watson,Left Wing,Forward,9,Ottawa Senators,438,123
Isac Lundestrom,Center,Forward,24,Anaheim Ducks,692,Max Jones,Left Wing,Forward,24,Anaheim Ducks,702,123
Tomas Tatar,Left Wing,Forward,8,Montréal Canadiens,890,Corey Perry,Right Wing,Forward,8,Montréal Canadiens,994,124
Pat Maroon,Left Wing,Forward,14,Tampa Bay Lightning,942,Mitchell Stephens,Center,Forward,14,Tampa Bay Lightning,97,124
Milan Lucic,Left Wing,Forward,20,Calgary Flames,763,Derek Ryan,Center,Forward,20,Calgary Flames,511,124
Nicolas Roy,Center,Forward,54,Vegas Golden Knights,957,Tomas Nosek,Left Wing,Forward,54,Vegas Golden Knights,580,124
Mark Stone,Right Wing,Forward,54,Vegas Golden Knights,1532,Mattias Janmark,Center,Forward,54,Vegas Golden Knights,1208,124
Jakob Silfverberg,Right Wing,Forward,24,Anaheim Ducks,849,Rickard Rakell,Left Wing,Forward,24,Anaheim Ducks,1070,124
Max Domi,Center,Forward,29,Columbus Blue Jackets,971,Kevin Stenlund,Center,Forward,29,Columbus Blue Jackets,402,124
Connor Clifton,Defenseman,Defenseman,6,Boston Bruins,1025,Brandon Carlo,Defenseman,Defenseman,6,Boston Bruins,685,125
Jake Gardiner,Defenseman,Defenseman,12,Carolina Hurricanes,459,Haydn Fleury,Defenseman,Defenseman,24,Anaheim Ducks,744,125
Nick Paul,Left Wing,Forward,9,Ottawa Senators,968,Austin Watson,Left Wing,Forward,9,Ottawa Senators,438,125
Sidney Crosby,Center,Forward,5,Pittsburgh Penguins,1362,Evgeni Malkin,Center,Forward,5,Pittsburgh Penguins,707,125
Jordan Martinook,Left Wing,Forward,12,Carolina Hurricanes,726,Cedric Paquette,Center,Forward,12,Carolina Hurricanes,466,125
Chandler Stephenson,Center,Forward,54,Vegas Golden Knights,1256,Jonathan Marchessault,Center,Forward,54,Vegas Golden Knights,1431,125
Tomas Nosek,Left Wing,Forward,54,Vegas Golden Knights,580,Keegan Kolesar,Right Wing,Forward,54,Vegas Golden Knights,632,126
Filip Zadina,Right Wing,Forward,17,Detroit Red Wings,858,Adam Erne,Left Wing,Forward,17,Detroit Red Wings,669,126
P.K. Subban,Defenseman,Defenseman,1,New Jersey Devils,1049,Ty Smith,Defenseman,Defenseman,1,New Jersey Devils,1022,126
Valtteri Filppula,Center,Forward,17,Detroit Red Wings,628,Jakub Vrana,Left Wing,Forward,17,Detroit Red Wings,863,126
Oskar Lindblom,Left Wing,Forward,4,Philadelphia Flyers,659,Jakub Voracek,Right Wing,Forward,4,Philadelphia Flyers,943,126
Chandler Stephenson,Center,Forward,54,Vegas Golden Knights,1256,Mattias Janmark,Center,Forward,54,Vegas Golden Knights,1208,126
Ryan Getzlaf,Center,Forward,24,Anaheim Ducks,873,Adam Henrique,Center,Forward,24,Anaheim Ducks,845,126
Dmitry Kulikov,Defenseman,Defenseman,22,Edmonton Oilers,1016,Damon Severson,Defenseman,Defenseman,1,New Jersey Devils,1305,126
Jani Hakanpaa,Defenseman,Defenseman,12,Carolina Hurricanes,1231,Jake Bean,Defenseman,Defenseman,12,Carolina Hurricanes,774,127
Dillon Dube,Center,Forward,20,Calgary Flames,697,Andrew Mangiapane,Left Wing,Forward,20,Calgary Flames,934,127
Derick Brassard,Center,Forward,53,Arizona Coyotes,813,Christian Dvorak,Center,Forward,53,Arizona Coyotes,1118,127
Nick Cousins,Center,Forward,18,Nashville Predators,808,Colton Sissons,Center,Forward,18,Nashville Predators,916,127
Alex Tuch,Right Wing,Forward,54,Vegas Golden Knights,1341,William Carrier,Left Wing,Forward,54,Vegas Golden Knights,760,127
Alex DeBrincat,Left Wing,Forward,16,Chicago Blackhawks,1231,Philipp Kurashev,Center,Forward,16,Chicago Blackhawks,767,127
Andre Burakovsky,Left Wing,Forward,21,Colorado Avalanche,1003,Mikko Rantanen,Right Wing,Forward,21,Colorado Avalanche,1324,128
Tyler Ennis,Center,Forward,22,Edmonton Oilers,402,Josh Archibald,Right Wing,Forward,22,Edmonton Oilers,774,128
Paul Byron,Left Wing,Forward,8,Montréal Canadiens,1002,Corey Perry,Right Wing,Forward,8,Montréal Canadiens,994,128
Michael Rasmussen,Center,Forward,17,Detroit Red Wings,609,Adam Erne,Left Wing,Forward,17,Detroit Red Wings,669,128
Kaapo Kakko,Right Wing,Forward,3,New York Rangers,724,Chris Kreider,Left Wing,Forward,3,New York Rangers,888,128
Colin Miller,Defenseman,Defenseman,7,Buffalo Sabres,879,Jacob Bryson,Defenseman,Defenseman,7,Buffalo Sabres,753,129
Anthony Bitetto,Defenseman,Defenseman,3,New York Rangers,217,Libor Hajek,Defenseman,Defenseman,3,New York Rangers,701,129
Jan Rutta,Defenseman,Defenseman,14,Tampa Bay Lightning,1011,Luke Schenn,Defenseman,Defenseman,14,Tampa Bay Lightning,556,129
Kris Russell,Defenseman,Defenseman,22,Edmonton Oilers,692,Ethan Bear,Defenseman,Defenseman,22,Edmonton Oilers,865,130
Chris Wagner,Right Wing,Forward,6,Boston Bruins,614,Trent Frederic,Center,Forward,6,Boston Bruins,474,130
Kevin Labanc,Right Wing,Forward,28,San Jose Sharks,941,Ryan Donato,Center,Forward,28,San Jose Sharks,695,130
Jacob Bryson,Defenseman,Defenseman,7,Buffalo Sabres,753,Brandon Montour,Defenseman,Defenseman,13,Florida Panthers,1165,130
Mikko Rantanen,Right Wing,Forward,21,Colorado Avalanche,1324,Joonas Donskoi,Right Wing,Forward,21,Colorado Avalanche,952,130
Radek Faksa,Center,Forward,25,Dallas Stars,1037,Ty Dellandrea,Center,Forward,25,Dallas Stars,326,130
Joe Pavelski,Center,Forward,25,Dallas Stars,1130,Alexander Radulov,Right Wing,Forward,25,Dallas Stars,211,130
Jesse Puljujarvi,Right Wing,Forward,22,Edmonton Oilers,929,Dominik Kahun,Center,Forward,22,Edmonton Oilers,685,130
Sam Bennett,Center,Forward,13,Florida Panthers,817,Sean Monahan,Center,Forward,20,Calgary Flames,946,130
Brayden McNabb,Defenseman,Defenseman,54,Vegas Golden Knights,1023,Dylan Coghlan,Defenseman,Defenseman,54,Vegas Golden Knights,409,130
Viktor Arvidsson,Right Wing,Forward,26,Los Angeles Kings,911,Matt Duchene,Center,Forward,18,Nashville Predators,671,130
Evander Kane,Left Wing,Forward,28,San Jose Sharks,1268,Timo Meier,Right Wing,Forward,28,San Jose Sharks,917,130
Max Jones,Left Wing,Forward,24,Anaheim Ducks,702,Troy Terry,Right Wing,Forward,24,Anaheim Ducks,724,131
Lars Eller,Center,Forward,15,Washington Capitals,843,Michael Raffl,Left Wing,Forward,15,Washington Capitals,650,131
Vladislav Gavrikov,Defenseman,Defenseman,29,Columbus Blue Jackets,1088,Mikko Lehtonen,Defenseman,Defenseman,29,Columbus Blue Jackets,421,131
Max Pacioretty,Left Wing,Forward,54,Vegas Golden Knights,1211,William Karlsson,Center,Forward,54,Vegas Golden Knights,1505,131
Troy Terry,Right Wing,Forward,24,Anaheim Ducks,724,Sam Steel,Center,Forward,24,Anaheim Ducks,674,131
Jason Zucker,Left Wing,Forward,5,Pittsburgh Penguins,740,Evan Rodrigues,Center,Forward,5,Pittsburgh Penguins,516,131
Brock Nelson,Center,Forward,2,New York Islanders,1517,Jean-Gabriel Pageau,Center,Forward,2,New York Islanders,1372,131
Tomas Hertl,Center,Forward,28,San Jose Sharks,994,Logan Couture,Center,Forward,28,San Jose Sharks,1133,131
Jared Spurgeon,Defenseman,Defenseman,30,Minnesota Wild,1470,Jonas Brodin,Defenseman,Defenseman,30,Minnesota Wild,1412,131
Robert Bortuzzo,Defenseman,Defenseman,19,St. Louis Blues,625,Vince Dunn,Defenseman,Defenseman,19,St. Louis Blues,849,132
Dominik Kubalik,Left Wing,Forward,16,Chicago Blackhawks,946,Mattias Janmark,Center,Forward,54,Vegas Golden Knights,1208,132
Nick Holden,Defenseman,Defenseman,54,Vegas Golden Knights,506,Shea Theodore,Defenseman,Defenseman,54,Vegas Golden Knights,1710,132
Zach Parise,Left Wing,Forward,0,No team,698,Nico Sturm,Center,Forward,30,Minnesota Wild,623,132
Travis Konecny,Right Wing,Forward,4,Philadelphia Flyers,876,Nolan Patrick,Center,Forward,4,Philadelphia Flyers,738,132
Austin Wagner,Left Wing,Forward,26,Los Angeles Kings,462,Blake Lizotte,Center,Forward,26,Los Angeles Kings,521,132
Miles Wood,Left Wing,Forward,1,New Jersey Devils,839,Jesper Bratt,Left Wing,Forward,1,New Jersey Devils,808,132
Joe Thornton,Center,Forward,10,Toronto Maple Leafs,695,Wayne Simmonds,Right Wing,Forward,10,Toronto Maple Leafs,556,132
Valtteri Filppula,Center,Forward,17,Detroit Red Wings,628,Sam Gagner,Center,Forward,17,Detroit Red Wings,649,132
Travis Boyd,Center,Forward,23,Vancouver Canucks,437,Jason Spezza,Center,Forward,10,Toronto Maple Leafs,695,133
Andre Burakovsky,Left Wing,Forward,21,Colorado Avalanche,1003,Valeri Nichushkin,Right Wing,Forward,21,Colorado Avalanche,984,133
